94004126002	940041260	1	1	1	1	1	1	2	1	1	1	3
94004111001	940041110	2	1	2	2	1	1	3	4	1	1	3
94004112001	940041120	1	1	1	1	4	1	1	1	1	1	1
94004118001	940041180	1	3	1	3	4	1	2	4	1	1	3
94004118002	940041180	1	1	1	1	1	1	1	1	1	1	3
94004104002	940041040	1	1	1	1	1	1	2	1	1	1	3
94004104001	940041040	1	1	1	3	1	1	1	4	1	1	3
94004119002	940041190	1	1	1	1	1	1	3	1	1	1	2
94004122001	940041220	1	1	1	1	1	1	1	1	1	1	2
94004122002	940041220	2	1	1	1	4	1	1	2	1	1	1
94004116001	940041160	1	2	1	1	1	1	1	1	1	1	2
94004116002	940041160	2	1	1	1	3	1	3	1	1	1	3
94004117002	940041170	1	1	1	1	1	1	1	1	1	1	2
94004117001	940041170	3	1	1	1	1	1	1	2	1	1	3
94004310002	940043100	1	1	1	1	2	1	1	2	1	1	3
94004316002	940043160	1	1	1	1	1	1	3	1	1	1	1
94004316001	940043160	1	1	1	1	1	1	1	1	1	1	1
94004303001	940043030	1	1	1	1	2	1	1	1	1	1	2
94004303002	940043030	1	1	1	1	4	1	1	1	1	1	2
94004307001	940043070	1	1	1	1	4	1	1	4	1	1	2
94004307002	940043070	1	1	1	1	4	1	3	4	1	1	2
94004319001	940043190	3	3	3	1	4	3	3	3	3	1	4
94004320001	940043200	1	1	1	1	1	1	1	1	1	1	3
94004320002	940043200	1	1	3	1	4	1	1	4	3	1	3
94004318001	940043180	1	1	3	1	2	1	1	1	1	1	3
94004311002	940043110	1	1	1	1	2	1	1	2	1	1	3
94004311001	940043110	1	1	1	1	1	1	1	1	1	1	1
94004219001	940042190	1	1	2	3	2	1	3	1	1	1	2
94004220002	940042200	1	1	1	1	1	1	3	1	1	1	1
94004215002	940042150	1	3	2	1	2	1	3	2	1	1	3
94004215001	940042150	1	3	1	2	3	1	2	2	2	1	2
94004217001	940042170	1	1	1	1	1	1	1	1	1	1	2
94004201001	940042010	2	2	2	1	1	2	3	2	2	1	2
94004213001	940042130	2	1	1	1	1	1	1	1	1	1	2
94004213002	940042130	2	3	1	1	1	1	2	1	1	1	3
94004223002	940042230	1	1	3	2	1	1	1	1	1	1	3
94004223001	940042230	1	1	1	1	4	1	1	1	1	1	2
